2026-06-15T13:29:16.313329,db4/pump/state,off
2026-06-15T13:29:18.454952,db4/temperature,None
2026-06-15T13:29:18.461163,db4/od,1
2026-06-15T13:29:18.462765,db4/pump/state,off
2026-06-15T13:29:20.808535,db4/temperature,None
2026-06-15T13:29:20.814667,db4/od,290
2026-06-15T13:29:20.818200,db4/pump/state,off
2026-06-15T13:29:23.186992,db4/temperature,None
2026-06-15T13:29:23.191649,db4/od,459
2026-06-15T13:29:23.204957,db4/pump/state,off
2026-06-15T13:29:25.826651,db4/temperature,None
2026-06-15T13:29:25.829473,db4/od,1
2026-06-15T13:29:25.836015,db4/pump/state,off
2026-06-15T13:29:28.183396,db4/temperature,None
2026-06-15T13:29:28.188539,db4/od,1
2026-06-15T13:29:28.192130,db4/pump/state,off
2026-06-15T13:29:30.537437,db4/temperature,None
2026-06-15T13:29:30.538495,db4/od,0
2026-06-15T13:29:30.541982,db4/pump/state,off
2026-06-15T13:29:32.993701,db4/temperature,None
2026-06-15T13:29:33.003993,db4/od,458
2026-06-15T13:29:33.006040,db4/pump/state,off
2026-06-15T13:29:35.353133,db4/temperature,None
2026-06-15T13:29:35.356305,db4/od,0
2026-06-15T13:29:35.356305,db4/pump/state,off
2026-06-15T13:29:37.677633,db4/temperature,None
2026-06-15T13:29:37.679850,db4/od,0
2026-06-15T13:29:37.681466,db4/pump/state,off
2026-06-15T13:29:40.159255,db4/temperature,None
2026-06-15T13:29:40.162111,db4/od,0
2026-06-15T13:29:40.163800,db4/pump/state,off
2026-06-15T13:29:42.517101,db4/temperature,None
2026-06-15T13:29:42.520487,db4/od,1
2026-06-15T13:29:42.520487,db4/pump/state,off
2026-06-15T13:29:44.971207,db4/temperature,None
2026-06-15T13:29:44.976713,db4/od,457
2026-06-15T13:29:44.979600,db4/pump/state,off
2026-06-15T13:29:47.427946,db4/temperature,None
2026-06-15T13:29:47.434680,db4/od,0
2026-06-15T13:29:47.438215,db4/pump/state,off
2026-06-15T13:29:49.802179,db4/temperature,None
2026-06-15T13:29:49.805626,db4/od,0
2026-06-15T13:29:49.809660,db4/pump/state,off
2026-06-15T13:29:52.158417,db4/temperature,None
2026-06-15T13:29:52.168825,db4/od,0
2026-06-15T13:29:52.176797,db4/pump/state,off
2026-06-15T13:29:54.701209,db4/temperature,None
2026-06-15T13:29:54.708399,db4/od,320
2026-06-15T13:29:54.710414,db4/pump/state,off
2026-06-15T13:29:56.984079,db4/temperature,None
2026-06-15T13:29:56.992830,db4/od,457
2026-06-15T13:29:56.996155,db4/pump/state,off
2026-06-15T13:29:59.401818,db4/temperature,None
2026-06-15T13:29:59.401818,db4/od,0
2026-06-15T13:29:59.408161,db4/pump/state,off
2026-06-15T13:30:01.866816,db4/temperature,None
2026-06-15T13:30:01.875078,db4/od,0
2026-06-15T13:30:01.877714,db4/pump/state,off
2026-06-15T13:30:04.331627,db4/temperature,None
2026-06-15T13:30:04.336590,db4/od,0
2026-06-15T13:30:04.341249,db4/pump/state,off
2026-06-15T13:30:06.679165,db4/temperature,None
2026-06-15T13:30:06.683735,db4/od,454
2026-06-15T13:30:06.685158,db4/pump/state,off
2026-06-15T13:30:09.143553,db4/temperature,None
2026-06-15T13:30:09.144627,db4/od,0
2026-06-15T13:30:09.144627,db4/pump/state,off
2026-06-15T13:30:56.733187,db4/temperature,None
2026-06-15T13:30:56.751305,db4/od,229
2026-06-15T13:30:56.754572,db4/pump/state,off
2026-06-15T13:30:59.213834,db4/temperature,None
2026-06-15T13:30:59.217453,db4/od,335
2026-06-15T13:30:59.217453,db4/pump/state,off
2026-06-15T13:31:01.669792,db4/temperature,None
2026-06-15T13:31:01.677184,db4/od,458
2026-06-15T13:31:01.680255,db4/pump/state,off
2026-06-15T13:31:03.968074,db4/temperature,None
2026-06-15T13:31:03.975040,db4/od,0
2026-06-15T13:31:03.977563,db4/pump/state,off
2026-06-15T13:31:06.486785,db4/temperature,None
2026-06-15T13:31:06.491695,db4/od,0
2026-06-15T13:31:06.497314,db4/pump/state,off
2026-06-15T13:31:08.944024,db4/temperature,None
2026-06-15T13:31:08.951926,db4/od,0
2026-06-15T13:31:08.954407,db4/pump/state,off
2026-06-15T13:31:11.210863,db4/temperature,None
2026-06-15T13:31:11.219812,db4/od,457
2026-06-15T13:31:11.221825,db4/pump/state,off
2026-06-15T13:31:13.651423,db4/temperature,None
2026-06-15T13:31:13.659876,db4/od,0
2026-06-15T13:31:13.659876,db4/pump/state,off
2026-06-15T13:31:16.108410,db4/temperature,None
2026-06-15T13:31:16.113383,db4/od,0
2026-06-15T13:31:16.116485,db4/pump/state,off
2026-06-15T13:31:16.819724,db4/pump/set,on
2026-06-15T13:31:18.162501,db4/pump/state,on
2026-06-15T13:31:18.567096,db4/temperature,None
2026-06-15T13:31:18.571220,db4/od,0
2026-06-15T13:31:18.571220,db4/pump/state,on
2026-06-15T13:31:21.027270,db4/temperature,None
2026-06-15T13:31:21.036208,db4/od,0
2026-06-15T13:31:21.036803,db4/pump/state,on
2026-06-15T13:31:23.375613,db4/temperature,None
2026-06-15T13:31:23.385996,db4/od,458
2026-06-15T13:31:23.387387,db4/pump/state,on
2026-06-15T13:31:25.738915,db4/temperature,None
2026-06-15T13:31:25.740955,db4/od,0
2026-06-15T13:31:25.750763,db4/pump/state,on
2026-06-15T13:31:28.212732,db4/temperature,None
2026-06-15T13:31:28.219908,db4/od,0
2026-06-15T13:31:28.230289,db4/pump/state,on
2026-06-15T13:31:29.861653,db4/pump/set,off
2026-06-15T13:31:30.134202,db4/pump/state,off
2026-06-15T13:31:30.657588,db4/temperature,None
2026-06-15T13:31:30.661016,db4/od,0
2026-06-15T13:31:30.661016,db4/pump/state,off
2026-06-15T13:31:33.004173,db4/temperature,None
2026-06-15T13:31:33.016572,db4/od,156
2026-06-15T13:31:33.020977,db4/pump/state,off
2026-06-15T13:31:35.468394,db4/temperature,None
2026-06-15T13:31:35.473427,db4/od,460
2026-06-15T13:31:35.474125,db4/pump/state,off
2026-06-15T13:31:37.921980,db4/temperature,None
2026-06-15T13:31:37.926639,db4/od,0
2026-06-15T13:31:37.927584,db4/pump/state,off
2026-06-15T13:31:40.212912,db4/temperature,None
2026-06-15T13:31:40.218021,db4/od,0
2026-06-15T13:31:40.220863,db4/pump/state,off
2026-06-15T13:31:42.738875,db4/temperature,None
2026-06-15T13:31:42.740780,db4/od,0
2026-06-15T13:31:42.743985,db4/pump/state,off
2026-06-15T13:31:45.191065,db4/temperature,None
2026-06-15T13:31:45.196328,db4/od,459
2026-06-15T13:31:45.198345,db4/pump/state,off
2026-06-15T13:31:47.555578,db4/temperature,None
2026-06-15T13:31:47.557600,db4/od,0
2026-06-15T13:31:47.562035,db4/pump/state,off
2026-06-15T13:31:50.002350,db4/temperature,None
2026-06-15T13:31:50.004613,db4/od,0
2026-06-15T13:31:50.004613,db4/pump/state,off
2026-06-15T13:31:52.359136,db4/temperature,None
2026-06-15T13:31:52.361824,db4/od,0
2026-06-15T13:31:52.363362,db4/pump/state,off
2026-06-15T13:31:54.814819,db4/temperature,None
2026-06-15T13:31:54.819649,db4/od,0
2026-06-15T13:31:54.820583,db4/pump/state,off
2026-06-15T13:31:57.272371,db4/temperature,None
2026-06-15T13:31:57.278265,db4/od,459
2026-06-15T13:31:57.282774,db4/pump/state,off
